epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,296.212,0.61172,1.18656,1.19726,0.4016,1,0.69717,0.58935,0.63126,1.06741,1.11735,0.000554938,0.000554938,0.000554938
2,578.3,0.58534,1.04016,1.16374,0.47494,1,0.84567,0.81784,0.49232,0.91376,0.91273,0.00109961,0.00109961,0.00109961
3,854.961,0.48429,0.96487,1.08469,0.49209,0.96043,0.84567,0.76272,0.63732,1.04594,0.93521,0.00163328,0.00163328,0.00163328
4,1129.52,0.45997,0.94028,1.07207,0.48201,1,0.84567,0.82939,0.27929,0.84702,0.64738,0.00161749,0.00161749,0.00161749
5,1403.69,0.37299,0.89784,1.01834,0.39032,1,0.59625,0.59625,0.24987,1.10108,0.57062,0.00160099,0.00160099,0.00160099
6,1679.15,0.35846,0.88347,1.00989,0.4757,1,0.82917,0.82917,0.24387,0.93912,0.62607,0.00158448,0.00158448,0.00158448
7,1955.36,0.33083,0.85166,0.99543,0.6622,1,0.91167,0.91167,0.22864,1.07488,0.59711,0.00156798,0.00156798,0.00156798
8,2231.05,0.3048,0.83026,0.98004,0.58289,0.8745,0.874,0.874,0.2316,1.0343,0.62768,0.00155148,0.00155148,0.00155148
9,2506.07,0.2851,0.80677,0.97112,0.50698,0.97695,0.54725,0.54725,0.1673,0.92035,0.51511,0.00153497,0.00153497,0.00153497
10,2779.68,0.27706,0.78257,0.96566,0.38612,1,0.635,0.62548,0.24941,1.05052,0.56473,0.00151847,0.00151847,0.00151847
11,3056.02,0.26253,0.76853,0.95477,0.68708,1,0.995,0.995,0.238,0.60634,0.59959,0.00150197,0.00150197,0.00150197
12,3331.52,0.26413,0.73386,0.95968,0.5285,0.75,0.91167,0.77799,0.38116,1.48933,0.63068,0.00148546,0.00148546,0.00148546
13,3606.94,0.24905,0.72892,0.95213,0.68664,0.98137,0.995,0.98037,0.22569,0.72807,0.72575,0.00146896,0.00146896,0.00146896
14,3880.92,0.24167,0.70317,0.94707,0.78816,0.5,0.57098,0.53376,0.63158,3.29038,0.87058,0.00145246,0.00145246,0.00145246
15,4155.51,0.22804,0.66676,0.94041,0.74637,0.96633,0.91167,0.91167,0.17244,0.65371,0.53066,0.00143595,0.00143595,0.00143595
16,4429.98,0.2258,0.65806,0.93996,0.75262,0.96988,0.995,0.98018,0.20681,0.52377,0.56084,0.00141945,0.00141945,0.00141945
17,4704.79,0.21231,0.64995,0.93123,0.93977,1,0.995,0.98131,0.22523,0.35175,0.63881,0.00140295,0.00140295,0.00140295
18,4979.23,0.21626,0.63572,0.93699,0.8709,1,0.995,0.97581,0.25473,0.45081,0.6359,0.00138644,0.00138644,0.00138644
19,5253.57,0.19098,0.61974,0.9183,0.95893,1,0.995,0.97637,0.19229,0.2236,0.59537,0.00136994,0.00136994,0.00136994
20,5528.79,0.19577,0.61076,0.92481,0.94412,0.77166,0.995,0.995,0.21358,0.5422,0.57155,0.00135344,0.00135344,0.00135344
21,5805.31,0.20351,0.58367,0.92841,0.76168,0.98577,0.995,0.98131,0.21184,0.45635,0.66822,0.00133693,0.00133693,0.00133693
22,6080.1,0.19364,0.57368,0.92602,0.92422,0.98951,0.995,0.98187,0.21746,0.21971,0.57645,0.00132043,0.00132043,0.00132043
23,6354.58,0.19474,0.57272,0.92505,0.543,1,0.995,0.995,0.19116,1.0308,0.51663,0.00130393,0.00130393,0.00130393
