epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.9368,0.80199,1.41479,1.28735,0.17994,0.40234,0.16792,0.05257,2.52749,5.41215,3.08486,0.000552339,0.000552339,0.000552339
2,144.418,0.81603,1.06672,1.26212,0.67914,0.56791,0.58983,0.50803,1.10636,2.1041,1.25464,0.00108607,0.00108607,0.00108607
3,209.914,0.70838,0.92528,1.17719,0.58406,0.71094,0.6725,0.36769,1.35933,1.53747,1.47679,0.00159779,0.00159779,0.00159779
4,276.512,0.66712,0.90761,1.14976,0.61962,0.85449,0.78939,0.52275,0.69694,1.39457,1.07092,0.00156798,0.00156798,0.00156798
5,344.865,0.63279,0.83081,1.12651,0.47596,0.58836,0.50726,0.31195,1.21232,1.78744,1.5462,0.00153497,0.00153497,0.00153497
6,413.41,0.55311,0.72008,1.07876,0.87588,0.91658,0.95606,0.86568,0.47857,0.64667,0.84059,0.00150197,0.00150197,0.00150197
7,478.503,0.48704,0.68571,1.04313,0.95361,0.95312,0.98044,0.96016,0.27033,0.44331,0.6664,0.00146896,0.00146896,0.00146896
8,543.542,0.43903,0.63678,0.99956,0.91896,0.94141,0.98338,0.97833,0.25869,0.46621,0.65953,0.00143595,0.00143595,0.00143595
9,608.561,0.39496,0.57112,0.98892,0.91069,0.89453,0.96804,0.92719,0.30464,0.51371,0.69177,0.00140295,0.00140295,0.00140295
10,673.418,0.40465,0.53941,0.99029,0.98547,0.98074,0.99461,0.98904,0.28065,0.30061,0.67035,0.00136994,0.00136994,0.00136994
11,738.499,0.3653,0.50098,0.97974,0.93999,0.96875,0.98927,0.96504,0.32734,0.36895,0.69929,0.00133693,0.00133693,0.00133693
12,803.296,0.33707,0.49687,0.96034,0.97052,0.98828,0.992,0.98941,0.17901,0.32521,0.57148,0.00130393,0.00130393,0.00130393
13,868.317,0.33397,0.48121,0.96084,0.9366,0.93924,0.98287,0.96805,0.30563,0.40758,0.67363,0.00127092,0.00127092,0.00127092
14,934.014,0.32611,0.44779,0.94679,0.91354,0.93853,0.98254,0.96848,0.23928,0.44002,0.61561,0.00123791,0.00123791,0.00123791
15,1001.03,0.29573,0.42977,0.93844,0.9543,0.96458,0.99128,0.9902,0.21144,0.35748,0.6059,0.00120491,0.00120491,0.00120491
16,1081.06,0.28938,0.43205,0.9328,0.73853,0.96098,0.98543,0.9849,0.21591,0.60281,0.62849,0.0011719,0.0011719,0.0011719
17,1148.2,0.27288,0.40585,0.92293,0.97985,0.98047,0.99449,0.99333,0.21415,0.30089,0.61243,0.00113889,0.00113889,0.00113889
18,1213.31,0.27321,0.40485,0.93282,0.96334,0.9804,0.99315,0.99255,0.1616,0.32236,0.57847,0.00110589,0.00110589,0.00110589
19,1278.27,0.24692,0.37189,0.92096,0.96367,0.97749,0.99252,0.98929,0.16427,0.28375,0.58463,0.00107288,0.00107288,0.00107288
20,1343,0.25037,0.37605,0.91772,0.92955,0.96094,0.99262,0.9901,0.2176,0.33887,0.60949,0.00103987,0.00103987,0.00103987
21,1407.85,0.26937,0.39908,0.93646,0.94908,0.94988,0.9925,0.99113,0.17854,0.34437,0.57571,0.00100687,0.00100687,0.00100687
22,1472.88,0.25545,0.35864,0.92793,0.99165,0.96515,0.99418,0.99285,0.17008,0.28673,0.57203,0.000973861,0.000973861,0.000973861
23,1537.74,0.2507,0.37483,0.92805,0.96868,0.94639,0.99492,0.99298,0.22979,0.29484,0.61275,0.000940855,0.000940855,0.000940855
24,1602.43,0.2275,0.33508,0.90665,0.75396,0.96504,0.98509,0.98321,0.20165,0.56774,0.58924,0.000907848,0.000907848,0.000907848
25,1667.38,0.22938,0.33826,0.9152,0.98133,0.97685,0.99327,0.99208,0.17176,0.26315,0.56919,0.000874842,0.000874842,0.000874842
